slug,url,final_url,status,classification,business_name,business_indicators,error_indicators,indicators_found,error_indicators_found,page_title,content_length,load_time,content_preview,error_details,tested_at
MQ==,https://booking.hydreight.com/b/MQ==,https://booking.hydreight.com/widget,ACTIVE,ACTIVE_BUSINESS,undefined,2,2,"['select', 'hydreight']","['error', ""the link you've opened isn't working as expected""]",undefined,31260,6.2350921630859375,"<html lang=""en"" style=""--default-icon-primary: #00b4e5;""><head><meta charset=""utf-8""><title>undefined</title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin=""""><link href=""https://fonts.googleapis.com/css2?family=inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&amp;display=swap"" rel=""stylesheet""><link href=""https://fonts.googleapis.com/icon?family=material+icons"" rel=""stylesheet""><link rel=""stylesheet"" href=""h",,2025-06-26T17:55:51.608973
OTk=,https://booking.hydreight.com/b/OTk=,https://booking.hydreight.com/widget-business/kr38j,ACTIVE,ACTIVE_BUSINESS,Bombshell Aesthetics,2,1,"['select', 'hydreight']",['error'],Bombshell Aesthetics,31135,4.934372186660767,"<html lang=""en"" style=""--default-icon-primary: #00b4e5;""><head><meta charset=""utf-8""><title>bombshell aesthetics</title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin=""""><link href=""https://fonts.googleapis.com/css2?family=inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&amp;display=swap"" rel=""stylesheet""><link href=""https://fonts.googleapis.com/icon?family=material+icons"" rel=""stylesheet""><link rel=""styleshe",,2025-06-26T17:55:56.649966
MTI5,https://booking.hydreight.com/b/MTI5,https://booking.hydreight.com/widget-business/kr38j,ACTIVE,ACTIVE_BUSINESS,Bombshell Aesthetics,2,1,"['select', 'hydreight']",['error'],Bombshell Aesthetics,31135,5.134971857070923,"<html lang=""en"" style=""--default-icon-primary: #00b4e5;""><head><meta charset=""utf-8""><title>bombshell aesthetics</title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin=""""><link href=""https://fonts.googleapis.com/css2?family=inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&amp;display=swap"" rel=""stylesheet""><link href=""https://fonts.googleapis.com/icon?family=material+icons"" rel=""stylesheet""><link rel=""styleshe",,2025-06-26T17:56:01.888116
MTMw,https://booking.hydreight.com/b/MTMw,https://booking.hydreight.com/widget-business/hi64p,ACTIVE,ACTIVE_BUSINESS,Hydrate SBC,9,2,"['service', 'therapy', 'available', 'select', 'iv therapy', 'hydreight', 'wellness', 'health', 'medical']","['401', 'error']",Hydrate SBC,45510,6.206478834152222,"<html lang=""en"" style=""--default-icon-primary: #00b4e5;""><head><meta charset=""utf-8""><title>hydrate sbc</title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin=""""><link href=""https://fonts.googleapis.com/css2?family=inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&amp;display=swap"" rel=""stylesheet""><link href=""https://fonts.googleapis.com/icon?family=material+icons"" rel=""stylesheet""><link rel=""stylesheet"" href=",,2025-06-26T17:56:08.200678
MTMy,https://booking.hydreight.com/b/MTMy,https://booking.hydreight.com/widget-business/pt73c,ERROR_PAGE,EMPTY_TITLE_INVALID_URL,,2,2,"['select', 'hydreight']","['error', ""the link you've opened isn't working as expected""]",,32033,6.131798028945923,"<html lang=""en"" style=""--default-icon-primary: #00b4e5;""><head><meta charset=""utf-8""><title></title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin=""""><link href=""https://fonts.googleapis.com/css2?family=inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&amp;display=swap"" rel=""stylesheet""><link href=""https://fonts.googleapis.com/icon?family=material+icons"" rel=""stylesheet""><link rel=""stylesheet"" href=""https://fo",,2025-06-26T17:56:14.438930
MTM3,https://booking.hydreight.com/b/MTM3,https://booking.hydreight.com/widget-business/pu55c,ACTIVE,ACTIVE_BUSINESS,ABOOST WELLNESS,8,2,"['service', 'select', 'hydreight', 'wellness', 'health', 'medical', 'clinic', 'care']","['401', 'error']",ABOOST WELLNESS,45563,5.584366083145142,"<html lang=""en"" style=""--default-icon-primary: #00b4e5;""><head><meta charset=""utf-8""><title>aboost wellness</title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin=""""><link href=""https://fonts.googleapis.com/css2?family=inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&amp;display=swap"" rel=""stylesheet""><link href=""https://fonts.googleapis.com/icon?family=material+icons"" rel=""stylesheet""><link rel=""stylesheet"" h",,2025-06-26T17:56:20.127140
MTQ5,https://booking.hydreight.com/b/MTQ5,https://booking.hydreight.com/widget-business/io32b,ACTIVE,ACTIVE_BUSINESS,Hydrate Scottsdale,5,1,"['book', 'appointment', 'service', 'select', 'hydreight']",['error'],Hydrate Scottsdale,36530,10.765843152999878,"<html lang=""en"" style=""--default-icon-primary: #00b4e5;""><head><meta charset=""utf-8""><title>hydrate scottsdale</title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin=""""><link href=""https://fonts.googleapis.com/css2?family=inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&amp;display=swap"" rel=""stylesheet""><link href=""https://fonts.googleapis.com/icon?family=material+icons"" rel=""stylesheet""><link rel=""stylesheet",,2025-06-26T17:56:30.996159
MTUw,https://booking.hydreight.com/b/MTUw,https://booking.hydreight.com/widget,ACTIVE,ACTIVE_BUSINESS,WEL Palm Beach,2,2,"['select', 'hydreight']","['error', ""the link you've opened isn't working as expected""]",WEL Palm Beach,31930,4.528571844100952,"<html lang=""en"" style=""--default-icon-primary: #00b4e5;""><head><meta charset=""utf-8""><title>wel palm beach</title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin=""""><link href=""https://fonts.googleapis.com/css2?family=inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&amp;display=swap"" rel=""stylesheet""><link href=""https://fonts.googleapis.com/icon?family=material+icons"" rel=""stylesheet""><link rel=""stylesheet"" hr",,2025-06-26T17:56:35.627332
MTcw,https://booking.hydreight.com/b/MTcw,https://booking.hydreight.com/widget-business/lp43d,ACTIVE,ACTIVE_BUSINESS,D&C Medical,6,1,"['book', 'appointment', 'service', 'select', 'hydreight', 'medical']",['error'],D&C Medical,36365,4.094759941101074,"<html lang=""en"" style=""--default-icon-primary: #00b4e5;""><head><meta charset=""utf-8""><title>d&amp;c medical</title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin=""""><link href=""https://fonts.googleapis.com/css2?family=inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&amp;display=swap"" rel=""stylesheet""><link href=""https://fonts.googleapis.com/icon?family=material+icons"" rel=""stylesheet""><link rel=""stylesheet"" h",,2025-06-26T17:56:39.825771
MTg0,https://booking.hydreight.com/b/MTg0,https://booking.hydreight.com/widget-business/lp43d,ACTIVE,ACTIVE_BUSINESS,D&C Medical,6,1,"['book', 'appointment', 'service', 'select', 'hydreight', 'medical']",['error'],D&C Medical,36365,6.572656869888306,"<html lang=""en"" style=""--default-icon-primary: #00b4e5;""><head><meta charset=""utf-8""><title>d&amp;c medical</title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin=""""><link href=""https://fonts.googleapis.com/css2?family=inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&amp;display=swap"" rel=""stylesheet""><link href=""https://fonts.googleapis.com/icon?family=material+icons"" rel=""stylesheet""><link rel=""stylesheet"" h",,2025-06-26T17:56:46.504392
